"null";"15.01";" Katı domuz yağı (lard dahil) ve kümes  hayvanlarının katı yağları";;
"null";;" (02.09 ve 15.03 pozisyonlarındakiler hariç):";;
"null";"1501.10";" - Lard :";;
"null";"1501.10.10.00.00";" - - Sınai amaçlar için kullanılanlar (insan gıdası olarak kullanılan ürünlerin";;
"null";;"      imalinde kullanılanlar hariç)";"-";75
"null";"1501.10.90.00.00";" - - Diğerleri";"-";20
"null";"1501.20";" - Diğer domuz yağı :";;
"null";"1501.20.10.00.00";" - - Sınai amaçlar için kullanılanlar (insan gıdası olarak kullanılan ürünlerin";;
"null";;"      imalinde kullanılanlar hariç)";"-";75
"null";"1501.20.90.00.00";" - - Diğerleri";"-";20
"null";"1501.90.00.00.00";" - Diğerleri";"-";20
"null";;;;
"null";"15.02";"Sığır, koyun veya keçi yağları ( 15.03 pozisyonundakiler hariç) :";;
"null";"1502.10";" - Donyağı:";;
"null";"1502.10.10.00.00";" - - Sınai amaçlar için kullanılanlar (insan gıdası olarak kullanılan ürünlerin";;
"null";;"      imalinde kullanılanlar hariç)";"-";75
"null";"1502.10.90.00.00";" - - Diğerleri";"-";40
"null";"1502.90";" - Diğerleri:";;
"null";"1502.90.10.00.00";" - - Sınai amaçlar için kullanılanlar (insan gıdası olarak kullanılan ";;
"null";;"    ürünlerin imalinde kullanılanlar hariç)";"-";75
"null";" ";" - - Diğerleri";;" "
"null";"1502.90.90.00.11";" - - - Sığır yağları";"-";40
"null";"1502.90.90.00.12";" - - - Koyun ve keçi yağları";"-";40
"null";;;;
"null";"1503.00";" Lard stearini, sıvı lard, oleostearin, oleoyağ ve sıvı don yağı";;
"null";;"  (emülsiyon haline getirilmemiş, karıştırılmamış veya ";;
"null";;"  başka şekilde hazırlanmamış):";;
"null";;" - Lard stearini ve oleostearin:";;
"null";;" - - Sınai amaçlar için kullanılanlar:";;
"null";"1503.00.11.10.00";" - - - Lard stearini";"-";75
"null";"1503.00.11.20.00";" - - - Oleostearin";"-";75
"null";;" - - Diğerleri:";;
"null";"1503.00.19.10.00";" - - - Lard stearini";"-";75
"null";"1503.00.19.20.00";" - - - Oleostearin";"-";75
"null";"1503.00.30.00.00";" -  Sınai amaçlar için kullanılan sıvı donyağı (insan gıdası olarak kullanılan";;
"null";;"    ürünlerin imalinde kullanılanlar hariç)";"-";75
"null";;" - Diğerleri:";;
"null";"1503.00.90.10.00";" - - Sıvı lard";"-";75
"null";"1503.00.90.90.00";" - - Diğerleri";"-";75
"null";;;;
"null";"15.04";"Balıkların veya deniz memelilerinin katı ve sıvı yağları ve bun-";;
"null";;"ların fraksiyonları (rafine edilmiş olsun olmasın,fakat kimyasal";;
"null";;"olarak değiştirilmemiş) :";;
"null";"1504.10";" - Balık karaciğerlerinin sıvı yağları ve bunların fraksiyonları:";;
"null";;" - - Gramında 2 500 ünite veya daha az A vitamini içerenler:";;
"null";"1504.10.10.10.00";" - - - Tababette kullanılanlar";"-";20
"null";"1504.10.10.90.00";" - - - Diğerleri";"-";20
"null";;" - - Diğerleri:";;
"null";"1504.10.91.00.00";" - - - Tütün balıklarından olanlar";"-";20
"null";;" - - - Diğerleri:";;
"null";"1504.10.99.10.00";" - - - - Tababette kullanılanlar";"-";20
"null";"1504.10.99.90.00";" - - - - Diğerleri";"-";20
"null";"1504.20";" - Balıkların katı ve sıvı yağları ve bunların fraksiyonları ( karaci -";;
"null";;"   ğerlerin sıvı yağları hariç):";;
"null";"1504.20.10.00.00";" - - Katı fraksiyonlar ";"-";60
"null";"1504.20.90.00.00";" - - Diğerleri";"-";20
"null";"1504.30";" - Deniz memelilerinin katı ve sıvı yağları ve bunların fraksiyonları:";;
"null";"1504.30.10.00.00";" - - Katı fraksiyonlar";"-";60
"null";;" - - Diğerleri";;" "
"null";"1504.30.90.00.11";" - - - Balina  yağı ";"-";20
"null";"1504.30.90.00.19";" - - - Diğerleri";"-";20
"null";;;;
"null";"1505.00";"Yapağı yağı ve bundan elde edilen yağlı maddeler (lanolin dahil):";;
"null";"1505.00.10.00.00";" - Ham yapağı yağı";"-";40
"null";;" - Diğerleri";;
"null";"1505.00.90.00.11";" - - Lanolin";"-";40
