NULL,"0101","Canlı atlar,eşekler,katırlar ve bardolar:",
NULL,,"- Atlar:",
NULL,"0101.11","-- Damızlıklar:",
NULL,,"--- Ehli olanlar",
NULL,"0101.11.00.10.11","---- Damızlık aygır","Kg-Baş"
NULL,"0101.11.00.10.12","---- Damızlık kısrak","Kg-Baş"
NULL,"0101.11.00.90.00","--- Diğerleri","Kg-Baş"
NULL,"0101.19","-- Diğerleri:",
NULL,"0101.19.10.00.00","--- Kasaplık atlar","Kg-Baş"
NULL,,"--- Diğerleri",
NULL,"0101.19.90.00.11","---- Tay","Kg-Baş"
NULL,"0101.19.90.00.12","---- Yarış atı","Kg-Baş"
NULL,"0101.19.90.00.19","---- Diğerleri","Kg-Baş"
NULL,"0101.20","- Eşekler,katırlar ve bardolar:",
NULL,,"-- Eşekler:",
NULL,"0101.20.10.10.00","--- Damızlık olanlar","Kg-Baş"
NULL,"0101.20.10.20.00","--- Damızlık olmayanlar","Kg-Baş"
NULL,"0101.20.90.00.00","-- Katırlar ve bardolar","Kg-Baş"
NULL,"0102","Canlı sığırlar:",
NULL,"0102.10","- Damızlıklar:",
NULL,"0102.10.10.00.00","-- Düveler (doğurmamış dişi sığırlar)","Kg-Baş"
NULL,"0102.10.30.00.00","-- İnekler","Kg-Baş"
NULL,,"-- Diğerleri",
NULL,"0102.10.90.00.11","--- Damızlık buzağı-malak","Kg-Baş"
NULL,"0102.10.90.00.12","--- Damızlık dana","Kg-Baş"
NULL,"0102.10.90.00.13","--- Damızlık boğalar","Kg-Baş"
NULL,"0102.10.90.00.14","--- Damızlık mandalar (erkek)","Kg-Baş"
NULL,"0102.10.90.00.15","--- Damızlık mandalar (dişi)","Kg-Baş"
NULL,"0102.10.90.00.19","--- Diğerleri","Kg-Baş"
NULL,"0102.90","- Diğerleri:",
NULL,,"-- Evcil türler:",
NULL,,"--- Ağırlığı 80 kg.ı geçmeyenler",
NULL,"0102.90.05.00.11","---- Buzağı-malak","Kg-Baş"
NULL,"0102.90.05.00.12","---- Dana","Kg-Baş"
NULL,"0102.90.05.00.13","---- Tosun","Kg-Baş"
NULL,"0102.90.05.00.19","---- Diğerleri","Kg-Baş"
NULL,,"--- Ağırlığı 80 kg.ı geçen fakat 160 kg.ı geçmeyenler:",
NULL,,"---- Kasaplık olanlar",
NULL,"0102.90.21.00.11","----- Buzağı-malak","Kg-Baş"
NULL,"0102.90.21.00.12","----- Dana","Kg-Baş"
NULL,"0102.90.21.00.13","----- Tosun","Kg-Baş"
NULL,"0102.90.21.00.19","----- Diğerleri","Kg-Baş"
NULL,,"---- Diğerleri",
NULL,"0102.90.29.00.11","----- Buzağı-malak","Kg-Baş"
NULL,"0102.90.29.00.12","----- Dana","Kg-Baş"
NULL,"0102.90.29.00.13","----- Tosun","Kg-Baş"
NULL,"0102.90.29.00.19","----- Diğerleri","Kg-Baş"
NULL,,"--- Ağırlığı 160 kg.ı geçen fakat 300 kg.ı geçmeyenler:",
NULL,,"---- Kasaplık olanlar",
NULL,"0102.90.41.00.11","----- Buzağı-malak","Kg-Baş"
NULL,"0102.90.41.00.12","----- Dana","Kg-Baş"
NULL,"0102.90.41.00.13","----- Tosun","Kg-Baş"
NULL,"0102.90.41.00.19","----- Diğerleri","Kg-Baş"
NULL,,"---- Diğerleri",
NULL,"0102.90.49.00.11","----- Buzağı-malak","Kg-Baş"
NULL,"0102.90.49.00.12","----- Dana","Kg-Baş"
NULL,"0102.90.49.00.13","----- Tosun","Kg-Baş"
NULL,"0102.90.49.00.19","----- Diğerleri","Kg-Baş"
NULL,,"--- Ağırlığı 300 kg.ı geçenler:",
NULL,,"---- Düveler (doğurmamış dişi sığırlar):",
NULL,"0102.90.51.00.00","----- Kasaplık olanlar","Kg-Baş"
NULL,"0102.90.59.00.00","----- Diğerleri","Kg-Baş"
NULL,,"---- İnekler:",
NULL,"0102.90.61.00.00","----- Kasaplık olanlar","Kg-Baş"
NULL,"0102.90.69.00.00","----- Diğerleri","Kg-Baş"
NULL,,"---- Diğerleri:",
NULL,"0102.90.71.00.00","----- Kasaplık olanlar","Kg-Baş"
NULL,"0102.90.79.00.00","----- Diğerleri","Kg-Baş"
NULL,"0102.90.90.00.00","-- Diğerleri","Kg-Baş"
NULL,"0103","Canlı domuzlar:",
NULL,"0103.10","- Damızlıklar",
NULL,"0103.10.00.10.00","-- Evcil damızlıklar","Kg-Baş"
NULL,"0103.10.00.90.00","-- Diğer damızlıklar","Kg-Baş"
NULL,,"- Diğerleri:",
NULL,"0103.91","-- Ağırlığı 50 kg.dan az olanlar:",
NULL,"0103.91.10.00.00","--- Evcil türler","Kg-Baş"
NULL,"0103.91.90.00.00","--- Diğerleri","Kg-Baş"
NULL,"0103.92","-- Ağırlığı 50 kg. veya daha fazla olanlar:",
NULL,,"--- Evcil türler:",
NULL,"0103.92.11.00.00","---- Ağırlığı en az 160 kg. olan ve en az bir defa doğmuş domuzlar","Kg-Baş"
NULL,"0103.92.19.00.00","---- Diğerleri","Kg-Baş"
NULL,"0103.92.90.00.00","--- Diğerleri","Kg-Baş"
NULL,"0104","Canlı koyun ve keçiler:",
NULL,"0104.10","- Koyunlar:",
NULL,,"-- Damızlıklar",
NULL,"0104.10.10.00.11","--- Damızlık koç","Kg-Baş"
NULL,"0104.10.10.00.12","--- Damızlık koyun","Kg-Baş"
NULL,,"-- Diğerleri:",
NULL,"0104.10.30.00.00","--- Kuzular (1 yaşında veya daha küçük)","Kg-Baş"
NULL,,"--- Diğerleri",
NULL,"0104.10.80.00.11","---- Koç","Kg-Baş"
NULL,"0104.10.80.00.12","---- Koyun","Kg-Baş"
NULL,"0104.10.80.00.13","---- Evcil olmayan koyunlar","Kg-Baş"
NULL,"0104.10.80.00.19","---- Diğerleri","Kg-Baş"
NULL,"0104.20","- Keçiler:",
NULL,,"-- Damızlıklar",
NULL,"0104.20.10.00.11","--- Damızlık teke","Kg-Baş"
NULL,"0104.20.10.00.12","--- Damızlık keçi","Kg-Baş"
NULL,,"-- Diğerleri",
NULL,"0104.20.90.00.11","--- Teke","Kg-Baş"
NULL,"0104.20.90.00.12","--- Keçi","Kg-Baş"
NULL,"0104.20.90.00.13","--- Oğlaklar","Kg-Baş"
NULL,"0104.20.90.00.14","--- Evcil olmayan keçiler","Kg-Baş"
NULL,"0104.20.90.00.19","--- Diğerleri","Kg-Baş"
NULL,"0105","Canlı kümes hayvanları [horozlar,tavuklar (""Gallus Domesticus""",
NULL,,"türü) ördekler,kazlar,hindiler ve beç tavukları gibi evcil türler]:",
NULL,,"- Ağırlığı 185 gr.ı geçmeyenler:",
NULL,"0105.11","-- Horozlar ve tavuklar (""Gallus Domesticus"" türü):",
NULL,,"--- Büyük ebeveyn ve ebeveyn dişi civcivler:",
NULL,"0105.11.11.00.00","---- Damızlık olanlar","Kg-Baş"
NULL,"0105.11.19.00.00","---- Diğerleri","Kg-Baş"
NULL,,"--- Diğerleri:",
NULL,"0105.11.91.00.00","---- Damızlık olanlar","Kg-Baş"
NULL,"0105.11.99.00.00","---- Diğerleri","Kg-Baş"
NULL,"0105.12","-- Hindiler:",
NULL,"0105.12.00.10.00","--- Damızlık olanlar","Kg-Baş"
NULL,"0105.12.00.90.00","--- Diğerleri","Kg-Baş"
NULL,"0105.19","-- Diğerleri:",
NULL,,"--- Kazlar:",
NULL,"0105.19.20.10.00","---- Damızlık olanlar","Kg-Baş"
NULL,"0105.19.20.90.00","---- Diğerleri","Kg-Baş"
NULL,,"--- Ördekler ve beç tavukları:",
NULL,,"---- Damızlık olanlar",
NULL,"0105.19.90.10.11","----- Damızlık ördekler","Kg-Baş"
NULL,"0105.19.90.10.12","----- Damızlık beç tavukları","Kg-Baş"
NULL,,"---- Diğerleri",
NULL,"0105.19.90.90.11","----- Ördekler","Kg-Baş"
NULL,"0105.19.90.90.19","----- Beç tavukları","Kg-Baş"
NULL,,"- Diğerleri",
NULL,"0105.92","-- Ağırlığı 2000 gr.'ı geçmeyen horozlar ve tavuklar (""Gallus",
NULL,,"Domesticus"" türü):",
NULL,"0105.92.00.10.00","--- Damızlık olanlar","Kg-Baş"
NULL,"0105.92.00.90.00","--- Diğerleri","Kg-Baş"
NULL,"0105.93","-- Ağırlığı 2000 gr.'ı geçen horozlar ve tavuklar (""Gallus",
NULL,,"Domesticus"" türü):",
NULL,"0105.93.00.10.00","--- Damızlık olanlar","Kg-Baş"
NULL,"0105.93.00.90.00","--- Diğerleri","Kg-Baş"
NULL,"0105.99","-- Diğerleri:",
NULL,,"--- Ördekler:",
NULL,"0105.99.10.10.00","---- Damızlık olanlar","Kg-Baş"
NULL,"0105.99.10.90.00","---- Diğerleri","Kg-Baş"
NULL,,"--- Kazlar:",
NULL,"0105.99.20.10.00","---- Damızlık olanlar","Kg-Baş"
NULL,"0105.99.20.90.00","---- Diğerleri","Kg-Baş"
NULL,,"--- Hindiler:",
NULL,"0105.99.30.10.00","---- Damızlık olanlar","Kg-Baş"
NULL,"0105.99.30.90.00","---- Diğerleri","Kg-Baş"
NULL,,"--- Beç tavukları:",
NULL,"0105.99.50.10.00","---- Damızlık olanlar","Kg-Baş"
NULL,"0105.99.50.90.00","---- Diğerleri","Kg-Baş"
NULL,"0106.00","Canlı diğer hayvanlar:",
NULL,,"- Evcil tavşanlar:",
NULL,"0106.00.10.10.00","-- Damızlık olanlar","Kg"
NULL,"0106.00.10.90.00","-- Diğerleri","Kg"
NULL,,"- Güvercinler:",
NULL,"0106.00.20.10.00","-- Damızlık olanlar","Kg"
NULL,"0106.00.20.90.00","-- Diğerleri","Kg"
NULL,,"- Diğerleri:",
NULL,,"-- Kobaylar,fareler ve yabani tavşanlar",
